Numer,Nazwa,Typ,Typ ogólny,Poziom,Dzielnica,Ulica,Numer budynku,Numer lokalu,Kod pocztowy,Długość geograficzna,Szerokość geograficzna,Publiczność,Liczba uczniów,Min,Max,Avg
170,PLASTUSIOWE PRZEDSZKOLE Z ODDZIAŁAMI INTEGRACYJNYMI NR 414,Przedszkole,Unused,Unclassified,Białołęka,ul. Mariana Hemara,8,,03-289,21.044837433406848,52.3265626,publiczna,386.0,,,
171,PRZEDSZKOLE Z ODDZIAŁAMI INTEGRACYJNYMI NR 430,Przedszkole,Unused,Unclassified,Białołęka,ul. Ceramiczna,9a,,03-126,20.962334800285443,52.3208507,publiczna,254.0,,,
172,"NIEPUBLICZNE PRZEDSZKOLE INTEGRACYJNE ""DOM ROZWOJU PRZEDSZKOLAKA PROMYCZEK",Przedszkole,Unused,Unclassified,Białołęka,ul. Białołęcka,259,,03-253,21.029286317581416,52.3138959,niepubliczna,29.0,,,
173,SZKOŁA PODSTAWOWA NR 365 IM.WOJCIECHA ZAWADZKIEGO,Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Płużnicka,4,,03-184,20.973754692798764,52.31182205,publiczna,365.0,,,
174,PLACÓWKA KSZTAŁCENIA USTAWICZNEGO AGENCJI OCHRONY OSÓB I MIENIA D.S. FOKUS SP. ZO.O.,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Białołęka,ul. Obrazkowa,20A,,03-188,20.9719603,52.314233,niepubliczna,,,,
175,NIEPUBLICZNE PRZEDSZKOLE LULA,Przedszkole,Unused,Unclassified,Białołęka,ul. Józsefa Antalla,4,,03-126,20.95765104964324,52.31454425,niepubliczna,30.0,,,
176,KURS NA MAKLERA PAPIERÓW WARTOŚCIOWYCH,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Białołęka,ul. Odkryta,51d,22,03-140,20.934378344110588,52.33390824999999,niepubliczna,,,,
177,SZKOŁA PODSTAWOWA NR 118 IM.PRZYJACIÓŁ MAZOWSZA,Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Myśliborska,25,,03-185,20.9770918,52.3024365,publiczna,707.0,,,
178,PUNKT PRZEDSZKOLNY PIASKOWY SMOK,Punkt przedszkolny,Unused,Unclassified,Białołęka,ul. Odkryta,31,LU6,03-140,20.9352128,52.3325686,niepubliczna,13.0,,,
179,"NIEPUBLICZNE PRZEDSZKOLE ""BAJKOLANDIA",Przedszkole,Unused,Unclassified,Białołęka,ul. Światowida,65,,03-144,20.941266577923265,52.33696505,niepubliczna,92.0,,,
180,NIEPUBLICZNE PRZEDSZKOLE WYSPA MARZEŃ WARSZAWA - BIAŁOŁĘKA,Przedszkole,Unused,Unclassified,Białołęka,ul. Stanisława Jagmina,23,,03-125,20.964355649310843,52.3216906,niepubliczna,49.0,,,
181,"POLSKO-ANGIELSKIE PRZEDSZKOLE ARTYSTYCZNE ""AKADERO",Przedszkole,Unused,Unclassified,Białołęka,ul. Strumykowa,23A,,03-138,20.945502018819067,52.33095745,niepubliczna,115.0,,,
182,"SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 342 IM. JANA MARCINA SZANCERA SZKOLE JEST PODPORZĄDKOWANA ORGANIZACYJNIE SZKOŁA FILIALNA W WARSZAWIE, UL. TOPOLOWA 15.",Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Topolowa,15,,03-138,20.952914483505694,52.3326008,publiczna,578.0,,,
183,SZKOŁA PODSTAWOWA NR 110 IM. KAZIMIERZA JEŻEWSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Bohaterów,41,,03-007,20.99326980571416,52.34024605000001,publiczna,432.0,,,
184,PRZEDSZKOLE PUBLICZNE ZGROMADZENIA SIÓSTR FRANCISZKANEK RODZINY MARYI,Przedszkole,Unused,Unclassified,Białołęka,ul. Klasyków,52/54,,03-163,20.98250636523268,52.33290635,publiczna,99.0,,,
185,TERAPEUTYCZNY PUNKT PRZEDSZKOLNY KAMYK ZIELONY,Punkt przedszkolny,Unused,Unclassified,Białołęka,ul. Odkryta,61,,03-140,20.9411301,52.3343853,niepubliczna,29.0,,,
187,NIEPUBLICZNE PRZEDSZKOLE ZGROMADZENIA SIÓSTR SŁUŻEBNICZEK NMP NIEPOKALANIE POCZĘTEJ-PROWINCJA ŁÓDZKA,Przedszkole,Unused,Unclassified,Białołęka,ul. Józefa Mehoffera,2,,03-131,20.938710765639915,52.3191983,niepubliczna,34.0,,,
188,NIEPUBLICZNY EKOLOGICZNY PUNKT PRZEDSZKOLNY GNIAZDKO MALUCHA,Punkt przedszkolny,Unused,Unclassified,Białołęka,ul. Warzelnicza,27b,,03-225,21.046235524014214,52.3291379,niepubliczna,0.0,,,
190,PRZEDSZKOLE KIDS LOVE DREAMS,Przedszkole,Unused,Unclassified,Białołęka,ul. Na Przełaj,5a,,03-092,20.981535,52.3575189,niepubliczna,84.0,,,
191,PUBLICZNE PRZEDSZKOLE EUROPEJSKIE 3,Przedszkole,Unused,Unclassified,Białołęka,ul. Słodka,2,,02-290,21.055258767369228,52.3476313,publiczna,107.0,,,
192,BAJKA PRZEDSZKOLE NIEPUBLICZNE,Przedszkole,Unused,Unclassified,Białołęka,ul. Leona Berensona,32,,03-287,21.065986675117365,52.324046,niepubliczna,67.0,,,
193,"PRZEDSZKOLE NIEPUBLICZNE ""SKARB MALUCHA",Przedszkole,Unused,Unclassified,Białołęka,ul. Skarbka z Gór,59D,,03-287,21.05425879046815,52.32111985,niepubliczna,66.0,,,
194,DWUJĘZYCZNY PUNKT PRZEDSZKOLNY WUNDERKIND ACADEMY,Punkt przedszkolny,Unused,Unclassified,Białołęka,ul. Józefa Mehoffera,45d,,03-131,20.954074700000007,52.3298205,niepubliczna,0.0,,,
195,"PRZEDSZKOLE NIEPUBLICZNE ""STONOGA",Przedszkole,Unused,Unclassified,Białołęka,ul. Skarbka z Gór,45,,03-287,21.0575014,52.3194851,niepubliczna,53.0,,,
196,"PRZEDSZKOLE NIEPUBLICZNE ""WESOŁY SMOK",Przedszkole,Unused,Unclassified,Białołęka,ul. Frachtowa,13,,03-043,21.03904286250244,52.3603349,niepubliczna,40.0,,,
197,"PRZEDSZKOLE NIEPUBLICZNE ""KRAINA TWÓRCZOŚCI",Przedszkole,Unused,Unclassified,Białołęka,ul. Hanki Ordonówny,21B,,03-139,20.95158349997212,52.33228545,niepubliczna,19.0,,,
198,SZKOŁA PODSTAWOWA NR 257 IM. PROF.MARIANA FALSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Podróżnicza,11,,03-111,20.973133720700027,52.32632415000001,publiczna,649.0,,,
199,PUNKT PRZEDSZKOLNY AKADEMIA WESOŁE BĄBELKOWO,Punkt przedszkolny,Unused,Unclassified,Białołęka,ul. Tymotki,7,,03-289,21.0560199630195,52.35604845,niepubliczna,16.0,,,
201,"NIEPUBLICZNE PRZEDSZKOLE ""INSPIRACJA",Przedszkole,Unused,Unclassified,Białołęka,ul. Józefa Mehoffera,90,,03-118,20.96415391753312,52.3361776,niepubliczna,32.0,,,
202,CV LICEUM OGÓLNOKSZTAŁCĄCE IM.ZBIGNIEWA HERBERTA,Liceum ogólnokształcące,Ordinary,Middle,Białołęka,ul. Vincenta van Gogha,1,,03-188,20.9532725,52.3135966,publiczna,836.0,124.0,162.88333333333333,139.14833333333334
203,SZKOŁA PODSTAWOWA NR 355 IM. JANA WEDLA,Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Ceramiczna,11,,03-126,20.96080498117124,52.32100865,publiczna,1200.0,,,
204,PRZEDSZKOLE NIEPUBLICZNE AKADEMIA PRZEDSZKOLAKA,Przedszkole,Unused,Unclassified,Białołęka,ul. Majolikowa,29,,03-125,20.955452893902983,52.32901655000001,niepubliczna,62.0,,,
205,SZKOŁA PODSTAWOWA NR 31 IM. KARDYNAŁA STEFANA WYSZYŃSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Kobiałka,49,,03-044,21.045412147278405,52.36336125,publiczna,1016.0,,,
206,AKADEMIA MALUCHÓW-TARCHOMIN NIEPUBLICZNE ANGLOJĘZYCZNE PRZEDSZKOLE INTEGRACYJNE,Przedszkole,Unused,Unclassified,Białołęka,ul. Zbytki,4,,03-145,20.93901666686212,52.34244905,niepubliczna,65.0,,,
207,PRZEDSZKOLE PUBLICZNE MAŁEGO KOPERNIKA NR 2,Przedszkole,Unused,Unclassified,Białołęka,ul. Zaułek,25,,03-287,21.065210390322573,52.3269244,publiczna,83.0,,,
208,"NIEPUBLICZNE PRZEDSZKOLE ""KRAINA UŚMIECHU",Przedszkole,Unused,Unclassified,Białołęka,ul. Myśliborska,42,,03-185,20.9763271,52.30638385,niepubliczna,48.0,,,
209,NIEPUBLICZNE PRZEDSZKOLE AKADEMIA MAŁEJ PSZCZÓŁKI,Przedszkole,Unused,Unclassified,Białołęka,ul. Mochtyńska,85,,03-289,21.037055779711785,52.35537215,niepubliczna,148.0,,,
210,"PRZEDSZKOLE NIEPUBLICZNE ""SPORTOWA KRAINA",Przedszkole,Unused,Unclassified,Białołęka,ul. Skarbka z Gór,116c,,03-287,21.060194812523328,52.3172629,niepubliczna,45.0,,,
212,"NIEPUBLICZNE PRZEDSZKOLE ""ZŁOTA RYBKA",Przedszkole,Unused,Unclassified,Białołęka,ul. Kopijników,65A,67A,03-274,21.046206811908373,52.30432235,niepubliczna,76.0,,,
213,PRZEDSZKOLE NIEPUBLICZNE SIÓSTR RODZINY MARYI,Przedszkole,Unused,Unclassified,Białołęka,ul. Wałuszewska,48,,03-005,20.990548196474627,52.342104600000006,niepubliczna,54.0,,,
214,"NIEPUBLICZNY TERAPEUTYCZNY PUNKT PRZEDSZKOLNY ""KRAINA ZMYSŁÓW",Punkt przedszkolny,Unused,Unclassified,Białołęka,ul. Okrągła,48,,03-290,21.064672954804845,52.3181513,niepubliczna,0.0,,,
215,"PRZEDSZKOLE NIEPUBLICZNE ""PRZEDSZKOLADA",Przedszkole,Unused,Unclassified,Białołęka,ul. Złotokwiatu,28,,03-289,21.047314900259515,52.3574837,niepubliczna,64.0,,,
216,"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""NASZA SZKOŁA"" IM. JANUSZA KORCZAKA W WARSZAWIE",Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Liczydło,3,,03-185,20.979851247672745,52.31383495,niepubliczna,128.0,,,
217,SZKOŁA PODSTAWOWA NR 366 IM. JANA PAWŁA II,Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Strumykowa,21,,03-138,20.944758972522123,52.33041515,publiczna,966.0,,,
218,"NIEPUBLICZNY PUNKT PRZEDSZKOLNY ""GARDEN KIDS",Punkt przedszkolny,Unused,Unclassified,Białołęka,ul. Lewandów,55a,1,03-299,21.07734569432704,52.3225028,niepubliczna,25.0,,,
219,"PRZEDSZKOLE NIEPUBLICZNE ""EDUSFERA",Przedszkole,Unused,Unclassified,Białołęka,ul. Białołęcka,186A,,03-287,21.030846656724567,52.31106455,niepubliczna,90.0,,,
220,"PRZEDSZKOLE NIEPUBLICZNE ""JARZĘBINKA",Przedszkole,Unused,Unclassified,Białołęka,ul. Ruskowy Bród,27,,03-289,21.05532953698223,52.34574865,niepubliczna,84.0,,,
221,NIEPUBLICZNA SZKOŁA MUZYCZNA I ST. CON FUOCO W WARSZAWIE-BIAŁOŁĘCE,Szkoła muzyczna I stopnia,Unused,Unclassified,Białołęka,ul. Porajów,3,,03-188,20.959658606413537,52.31501925,niepubliczna,36.0,,,
223,PRZEDSZKOLE NR 76 IM. WARSA I SAWY,Przedszkole,Unused,Unclassified,Białołęka,ul. Odkryta,18,,03-140,20.937341565524413,52.3286198,publiczna,211.0,,,
224,"PRZEDSZKOLE NIEPUBLICZNE ""PROGRESJA",Przedszkole,Unused,Unclassified,Białołęka,ul. Erazma z Zakroczymia,12,,03-185,20.95039517725841,52.32194115,niepubliczna,61.0,,,
225,"PRZEDSZKOLE NIEPUBLICZNE ""SMERF",Przedszkole,Unused,Unclassified,Białołęka,ul. Odkryta,41H,,03-140,20.9389837,52.33987379999999,niepubliczna,166.0,,,
226,"PRZEDSZKOLE ARTYSTYCZNO-JĘZYKOWE ""KAJTUSIE",Przedszkole,Unused,Unclassified,Białołęka,ul. Światowida,51C,,03-144,20.941532529310674,52.321645200000006,publiczna,81.0,,,
228,"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""EUROPEJSKA SZKOŁA PRZYSZŁOŚCI",Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Białołęcka,186d,,03-235,21.0304985,52.3110476,niepubliczna,110.0,,,
229,"PRZEDSZKOLE NIEPUBLICZNE ""KRASNOLUDKI",Przedszkole,Unused,Unclassified,Białołęka,ul. Skarbka z Gór,148,,03-287,21.0574114892734,52.3235429,niepubliczna,38.0,,,
230,NIEPUBLICZNA PLACÓWKA OŚWIATOWA LEGION,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Białołęka,ul. Kartograficzna,86,22,03-290,21.0783853,52.3134987,niepubliczna,,,,
231,EDUCOR CENTRUM KSZTAŁCENIA USTAWICZNEGO DLA DOROSŁYCH,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Białołęka,ul. Elektronowa,2,,03-219,21.0027257,52.2940006,niepubliczna,,,,
232,"NIEPUBLICZNE PRZEDSZKOLE ""GUCIO",Przedszkole,Unused,Unclassified,Białołęka,ul. Ostródzka,146B,,03-289,21.0506705,52.3214134,niepubliczna,18.0,,,
233,PLACÓWKA KSZTAŁCENIA USTAWICZNEGO T.S. PATROL II,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Białołęka,ul. Modlińska,219A,,03-120,20.9680452,52.32656,niepubliczna,,,,
234,"PUBLICZNE PRZEDSZKOLE INTEGRACYJNE ""NASZ DOMEK",Przedszkole,Unused,Unclassified,Białołęka,ul. Zdziarska,26,,03-289,21.039958814619887,52.3395432,publiczna,51.0,,,
235,PUBLICZNE PRZEDSZKOLE INTEGRACYJNE BAJKA,Przedszkole,Unused,Unclassified,Białołęka,ul. Krzyżówki,3c,,03-193,20.99173978890329,52.30632345,publiczna,40.0,,,
236,PUNKT PRZEDSZKOLNY WIATR W ŻAGLE,Punkt przedszkolny,Unused,Unclassified,Białołęka,ul. Sieczna,5,,03-290,21.06814255219082,52.31497225,niepubliczna,15.0,,,
237,"PUBLICZNE PRZEDSZKOLE INTEGRACYJNE ""NASZ DOMEK",Przedszkole,Unused,Unclassified,Białołęka,ul. Małej Żabki,15,,03-289,21.041550513391137,52.35214360000001,publiczna,60.0,,,
238,SPOŁECZNA SZKOŁA PODSTAWOWA NR 2 IM. POLSKICH MATEMATYKÓW ZWYCIĘZCÓW ENIGMY SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO,Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Dziatwy,6,,03-109,20.96934855636613,52.3307386,niepubliczna,339.0,,,
239,"PRZEDSZKOLE NIEPUBLICZNE ""ZDOBYWCY ŚWIATA",Przedszkole,Unused,Unclassified,Białołęka,ul. Światowida,51A,,03-144,20.942356300937213,52.32222595,niepubliczna,35.0,,,
240,SZKOŁA PODSTAWOWA NR 368 IM. POLSKICH OLIMPIJCZYKÓW,Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Ostródzka,175,,03-289,21.04676783490941,52.3271383,publiczna,1426.0,,,
241,"PRZEDSZKOLE NIEPUBLICZNE ""WYSPA SKARBÓW",Przedszkole,Unused,Unclassified,Białołęka,ul. Skarbka z Gór,142B,,03-287,21.058465905586864,52.3230007,niepubliczna,62.0,,,
243,"PRZEDSZKOLE NIEPUBLICZNE ""PLASTUŚ",Przedszkole,Unused,Unclassified,Białołęka,ul. Józefa Mehoffera,57,,03-131,20.95808836337733,52.3326557,niepubliczna,99.0,,,
244,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 344 IM.POWSTANIA WARSZAWSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Erazma z Zakroczymia,15,,03-185,20.948735720463816,52.3219957,publiczna,1210.0,,,
245,"PRZEDSZKOLE Z ODDZIAŁAMI INTEGRACYJNYMI NR 65 ""TARCHOMINEK",Przedszkole,Unused,Unclassified,Białołęka,ul. Feliksa Pancera,3,,03-187,20.94730978527952,52.31899295,publiczna,168.0,,,
246,PRZEDSZKOLE Z ODDZIAŁAMI INTEGRACYJNYMI NR 226,Przedszkole,Unused,Unclassified,Białołęka,ul. Strumykowa,17,,03-138,20.94452081,52.32837720000001,publiczna,319.0,,,
247,NIEPUBLICZNE PRZEDSZKOLE INTEGRACYJNE MAGICZNY ŚWIAT DZIECKA,Przedszkole,Unused,Unclassified,Białołęka,ul. Światowida,51B,U1,03-144,20.9419441732812,52.3219379,niepubliczna,39.0,,,
248,KOMPAS TERAPEUTYCZNY PUNKT PRZEDSZKOLNY,Punkt przedszkolny,Unused,Unclassified,Białołęka,ul. Głębocka,54b,28,03-287,21.065508993494642,52.31059055,niepubliczna,17.0,,,
249,"PRZEDSZKOLE NIEPUBLICZNE ""ZDOBYWCY ŚWIATA",Przedszkole,Unused,Unclassified,Białołęka,ul. Aluzyjna,18b,,03-149,20.944248763566037,52.34535915,niepubliczna,8.0,,,
250,"PRZEDSZKOLE NR 192 ""WESOŁY PĘDZELEK",Przedszkole,Unused,Unclassified,Białołęka,ul. Liczydło,3A,,03-183,20.979187300000003,52.313627200000006,publiczna,359.0,,,
251,"PRZEDSZKOLE PUBLICZNE ""W BAJKOWYM OGRODZIE",Przedszkole,Unused,Unclassified,Białołęka,ul. Parcelacyjna,7c,,03-155,20.973104848965626,52.3480086,publiczna,48.0,,,
252,NIEPUBLICZNE PRZEDSZKOLE PSZCZÓŁKA MAJA,Przedszkole,Unused,Unclassified,Białołęka,ul. Kąty Grodziskie,56,,03-289,21.058067046780508,52.33031215,niepubliczna,79.0,,,
253,NIEPUBLICZNA SZKOŁA MUZYCZNA II ST. CON FUOCO W WARSZAWIE BIAŁOŁĘCE,Szkoła muzyczna II stopnia,Unused,Unclassified,Białołęka,ul. Porajów,3,,03-188,20.959658606413537,52.31501925,niepubliczna,6.0,,,
254,"PRZEDSZKOLE ""WESOŁY TELETUBIŚ",Przedszkole,Unused,Unclassified,Białołęka,ul. Skarbka z Gór,7a,,03-287,21.059694600000004,52.3162546,niepubliczna,155.0,,,
255,"PRZEDSZKOLE NIEPUBLICZNE ""CYPISEK",Przedszkole,Unused,Unclassified,Białołęka,ul. Ostródzka,213K,,03-289,21.046515023466963,52.33643665,niepubliczna,115.0,,,
256,PRZEDSZKOLE PLANETA MARZEŃ,Przedszkole,Unused,Unclassified,Białołęka,ul. Kobiałka,14,,03-044,21.0317403170365,52.35636995,niepubliczna,108.0,,,
257,CLXV LICEUM OGÓLNOKSZTAŁCĄCE,Liceum ogólnokształcące,Ordinary,Middle,Białołęka,ul. Ostródzka,175,,03-289,21.04676783490941,52.3271383,publiczna,94.0,78.14999999999998,149.78333333333333,115.83666666666666
258,PRZEDSZKOLE LEŚNE,Przedszkole,Unused,Unclassified,Białołęka,ul. Osiedle,11,,03-149,20.944948061004325,52.3475402,niepubliczna,33.0,,,
259,"NIEPUBLICZNE PRZEDSZKOLE ""PRZY LESIE II",Przedszkole,Unused,Unclassified,Białołęka,ul. Dębowa,1,,03-054,20.9434576,52.360888,niepubliczna,0.0,,,
260,PRZEDSZKOLE NIEPUBLICZNE SMOCZKOWE DRZEWO,Przedszkole,Unused,Unclassified,Białołęka,ul. Aroniowa,11A,,03-289,21.042159516994047,52.3532576,niepubliczna,48.0,,,
261,NIEPUBLICZNA SZKOŁA MUZYCZNA I ST. LA MUSICA W WARSZAWIE,Szkoła muzyczna I stopnia,Unused,Unclassified,Białołęka,ul. Leśnej Polanki,63,65,03-142,20.9454388139821,52.338058,niepubliczna,0.0,,,
262,"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""INSPIRACJA",Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Józefa Mehoffera,90,,03-118,20.96415391753312,52.3361776,niepubliczna,171.0,,,
263,"PRZEDSZKOLE PUBLICZNE ""KRECIK",Przedszkole,Unused,Unclassified,Białołęka,ul. Ostródzka,190b,,03-289,21.04745498498749,52.3320747,publiczna,282.0,,,
264,PRZEDSZKOLE NIEPUBLICZNE NIEZAPOMINAJKA,Przedszkole,Unused,Unclassified,Białołęka,ul. Kąty Grodziskie,117,,03-289,21.053419603025148,52.3353965,niepubliczna,50.0,,,
265,"NIEPUBLICZNE INTEGRACYJNE PRZEDSZKOLE""RÓŻA MONTESSORI",Przedszkole,Unused,Unclassified,Białołęka,ul. Majorki,25,,03-020,21.0000045978,52.3358761,niepubliczna,56.0,,,
266,PRZEDSZKOLE NR 429,Przedszkole,Unused,Unclassified,Białołęka,ul. Skarbka z Gór,9A,,03-287,21.0599025,52.3116063,publiczna,240.0,,,
267,NIEPUBLICZNE PRZEDSZKOLE DOOKOŁA ŚWIATA,Przedszkole,Unused,Unclassified,Białołęka,ul. Sprawna,24,,03-147,20.94400352220069,52.34168,niepubliczna,56.0,,,
268,"PRZEDSZKOLE NIEPUBLICZNE ""PRZEDSZKOLAKI",Przedszkole,Unused,Unclassified,Białołęka,ul. Świderska,127,,03-128,20.9437326991383,52.31958745,niepubliczna,50.0,,,
269,SZKOŁA PODSTAWOWA NR 356 IM.RYSZARDA KACZOROWSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Głębocka,66,,03-287,21.06735504925074,52.31170285,publiczna,1377.0,,,
270,"ZESPÓŁ WYCHOWANIA PRZEDSZKOLNEGO ""AKADEMIA KRASNOLUDKÓW",Zespół wychowania przedszkolnego,Unused,Unclassified,Białołęka,ul. Edwarda Wittiga,5,,03-188,20.96064766636337,52.3134736,niepubliczna,6.0,,,
271,"PRZEDSZKOLE NIEPUBLICZNE ""KRASNOLUDKI",Przedszkole,Unused,Unclassified,Białołęka,ul. Sprawna,16E/F,,03-147,20.941343487832565,52.340960816040536,niepubliczna,306.0,,,
272,"POLSKO-ANGIELSKA SZKOŁA PODSTAWOWA MENTIS ""PIWONIOWA",Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Piwoniowa,18,,03-074,20.975367890341285,52.35434470000001,niepubliczna,124.0,,,
273,PRZEDSZKOLE SIÓSTR FELICJANEK IM. ŚW. FELIKSA Z KANTALICJO,Przedszkole,Unused,Unclassified,Białołęka,ul. Żywiczna,40A,,03-179,20.977291697266022,52.32548180000001,niepubliczna,102.0,,,
277,"PRZEDSZKOLE NIEPUBLICZNE ""MALINOWE PRZEDSZKOLE",Przedszkole,Unused,Unclassified,Białołęka,ul. Płochocińska,84B,,03-044,21.030199224864322,52.33588795,niepubliczna,30.0,,,
278,"PRZEDSZKOLE NIEPUBLICZNE ""SMERF 2",Przedszkole,Unused,Unclassified,Białołęka,ul. Sprawna,9a,,03-147,20.9409258,52.3412347,publiczna,185.0,,,
280,SZKOŁA PODSTAWOWA NR 367 IM. POLSKICH NOBLISTÓW,Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Przytulna,3,,03-083,20.98319209137021,52.35702600000001,publiczna,327.0,,,
281,NIEPUBLICZNE PRZEDSZKOLE DZIECIĘCY KĄCIK WARSZAWA - BIAŁOŁĘKA,Przedszkole,Unused,Unclassified,Białołęka,ul. Ostródzka,74a,,03-289,21.05249937134387,52.3114438,niepubliczna,57.0,,,
282,"PRZEDSZKOLE NIEPUBLICZNE ""SENSO-SMYKI",Przedszkole,Unused,Unclassified,Białołęka,ul. Głębocka,82A,,03-287,21.0673602,52.3152248,niepubliczna,29.0,,,
283,"PRZEDSZKOLE NIEPUBLICZNE ""FABRYKA SNÓW"" Z ROZSZERZONYM PROGRAMEM ARTYSTYCZNO-EKOLOGIC",Przedszkole,Unused,Unclassified,Białołęka,ul. Parcelacyjna,7c,,03-155,20.973104848965626,52.3480086,niepubliczna,0.0,,,
284,PRZEDSZKOLE NR 64 IM.PRZYJACIÓŁ KUBUSIA PUCHATKA,Przedszkole,Unused,Unclassified,Białołęka,ul. Porajów,3,,03-188,20.959658606413537,52.31501925,publiczna,238.0,,,
285,PRZEDSZKOLE NIEPUBLICZNE JAGÓDKA,Przedszkole,Unused,Unclassified,Białołęka,ul. Konwaliowa,38,,03-194,20.981912443609808,52.2995686,niepubliczna,36.0,,,
286,"NIEPUBLICZNA TERAPEUTYCZNA SZKOŁA PODSTAWOWA ""DOBRY START""Z ODDZIAŁAMI PRZEDSZKOLNYMI",Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Internetowa,33,,03-290,21.07396385,52.32038575,niepubliczna,30.0,,,
287,PROMYCZEK,Punkt przedszkolny,Unused,Unclassified,Białołęka,ul. Marywilska,56A,,03-042,21.000087,52.31874355,niepubliczna,0.0,,,
289,SZKOŁA PODSTAWOWA NR 231 IM. GEN. MARIUSZA ZARUSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Juranda ze Spychowa,10,,03-257,21.03412062785709,52.31650870000001,publiczna,765.0,,,
290,NIEPUBLICZNE PRZEDSZKOLE WESOŁY DOMEK,Przedszkole,Unused,Unclassified,Białołęka,ul. Szlachecka,48,,03-259,21.02324704678589,52.31496195,niepubliczna,30.0,,,
291,SZKOŁA FILIALNA SZKOŁY PODSTAWOWEJ NR 356,Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Stanisława Chudoby,4,,03-287,21.075333507483357,52.3246619,publiczna,155.0,,,
292,OŚRODEK SZKOLENIA KVALIFIKO,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Białołęka,ul. Aleksandra Fleminga,33B,,03-176,20.976849304085587,52.31944635,niepubliczna,,,,
293,"PRZEDSZKOLE NIEPUBLICZNE ""RAJ KRASNALI",Przedszkole,Unused,Unclassified,Białołęka,ul. Światowida,58,U1U2,03-144,20.942008572922568,52.33054285,niepubliczna,46.0,,,
294,AKADEMIA TRANSPORTU I PRZEDSIĘBIORCZOŚCI (ATP),Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Białołęka,ul. Annopol,4b,,03-236,21.0219231,52.3018544,niepubliczna,,,,
295,PRZEDSZKOLE NIEPUBLICZNE SŁONECZNY DOMEK O PROFILU ANGIELSKIM,Przedszkole,Unused,Unclassified,Białołęka,ul. Skarbka z Gór,45CD,,03-287,21.059694600000004,52.3162546,niepubliczna,407.0,,,
296,"PRZEDSZKOLE NIEPUBLICZNE INTEGRACYJNE ""ECHA LEŚNE",Przedszkole,Unused,Unclassified,Białołęka,ul. Świderska,109h,60,03-128,20.945427026144696,52.3166445,niepubliczna,9.0,,,
297,"SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 112 IM. MARII KOWNACKIEJ W WARSZAWIE, UL. ZAUŁEK 34 SZKOLE JEST PODPORZĄDKOWANA ORGANIZACYJNIE SZKOŁA FILIALNA W WARSZAWIE, UL. OSTRÓDZKA 144",Szkoła podstawowa,Ordinary,Elementary,Białołęka,ul. Zaułek,34,,03-287,21.06671851076066,52.32721935,publiczna,826.0,,,
298,NIEPUBLICZNE PRZEDSZKOLE MORELOVE,Przedszkole,Unused,Unclassified,Białołęka,ul. Morelowa,2a,,03-192,20.98798795526926,52.30663555,niepubliczna,43.0,,,
299,CENTRUM KSZTAŁCENIA USTAWICZNEGO W WARSZAWIE - BIAŁOŁĘCE,Placówka Kształcenia Ustawicznego ze szkołami,Ordinary,Unclassified,Białołęka,ul. Ciupagi,1,,03-016,21.008975825,52.33407125,publiczna,,,,
