Numer,Nazwa,Typ,Typ ogólny,Poziom,Dzielnica,Ulica,Numer budynku,Numer lokalu,Kod pocztowy,Długość geograficzna,Szerokość geograficzna,Publiczność,Liczba uczniów,Min,Max,Avg
462,CENTRUM SZKOLENIOWE KRAJOWEJ IZBY GOSPODARCZEJ ELEKTRONIKI I TELEKOMUNIKACJI,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Stępińska,22,30,00-739,21.038060502045642,52.205139,niepubliczna,,,,
463,"PRZEDSZKOLE ""MAŁE ŚMIESZKI",Przedszkole,Unused,Unclassified,Mokotów,ul. Obrzeżna,3,U14,02-691,20.999063910722587,52.1731535,niepubliczna,45.0,,,
464,KRAJOWA IZBA KSIĘGOWYCH,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Domaniewska,39A,,02-672,21.00440258111552,52.18249295,niepubliczna,,,,
465,"PRZEDSZKOLE JĘZYKOWE ""BAJKOWA KRAINA",Przedszkole,Unused,Unclassified,Mokotów,ul. Ludwika Idzikowskiego,39,,02-704,21.025829736071508,52.18622085,niepubliczna,88.0,,,
467,INTEGRACYJNE PRZEDSZKOLE ŚWIAT DZIECKA,Przedszkole,Unused,Unclassified,Mokotów,ul. Jana Pawła Woronicza,33,B,02-640,20.9884178,52.18875429999999,niepubliczna,5.0,,,
468,PRZEDSZKOLE NR 391,Przedszkole,Unused,Unclassified,Mokotów,ul. Czerniakowska,20A,,00-714,21.0518775149149,52.2009078,publiczna,119.0,,,
470,"PUNKT PRZEDSZKOLNY ""SMYKI ZE SMYCZKOWEJ",Punkt przedszkolny,Unused,Unclassified,Mokotów,ul. Smyczkowa,11,5,02-678,21.01499527522905,52.17078795,niepubliczna,25.0,,,
471,PUNKT PRZEDSZKOLNY FUNDACJI AUTISMO,Punkt przedszkolny,Unused,Unclassified,Mokotów,ul. Zielona,30,,02-913,21.0683516,52.1859213,niepubliczna,12.0,,,
472,BLOSSOM ANGLOJĘZYCZNE PRZEDSZKOLE ARTYSTYCZNE,Przedszkole,Unused,Unclassified,Mokotów,ul. Racławicka,120,,02-634,20.99454445,52.1969458,niepubliczna,46.0,,,
474,SPOŁECZNA SZKOŁA PODSTAWOWA NR 26 IM. PROF. JIGORO KANO SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Puławska,97b,,02-595,21.0239946,52.1842205,niepubliczna,372.0,,,
